,doc1,feq_doc1,doc2,feq_doc2,doc3,feq_doc3,doc4,feq_doc4,doc5,feq_doc5,doc6,feq_doc6,doc7,feq_doc7,doc8,feq_doc8,doc9,feq_doc9,doc10,feq_doc10,doc11,feq_doc11,doc12,feq_doc12,doc13,feq_doc13,doc14,feq_doc14,doc15,feq_doc15,doc16,feq_doc16,doc17,feq_doc17,doc18,feq_doc18,doc19,feq_doc19,doc20,feq_doc20
458,conditions,1.0,one,1.0,-,-,rescue,2.0,32,2.0,25,3.0,federation,1.0,committee,2.0,-,-,-,-,-,-,-,-,-,-,-,-,divided,2.0,ruin,1.0,-,-,-,-,name,5,plan,5.0
459,sense,1.0,discrete,1.0,-,-,methylates,2.0,33,2.0,black,3.0,exert,1.0,life,2.0,-,-,-,-,-,-,-,-,-,-,-,-,three,2.0,1960s,1.0,-,-,-,-,once,5,mountaintop,5.0
460,hope,1.0,split,1.0,-,-,gatc,2.0,riflemen,2.0,now,3.0,battle,1.0,troops,2.0,-,-,-,-,-,-,-,-,-,-,-,-,develops,2.0,1889,1.0,-,-,-,-,along,5,shot,5.0
461,sustaining,1.0,merge,1.0,-,-,adenosine,2.0,facts,2.0,eg,3.0,conference,1.0,2012,2.0,-,-,-,-,-,-,-,-,-,-,-,-,17,2.0,founded,1.0,-,-,-,-,nature,5,funeral,5.0
462,internal,1.0,complicated,1.0,-,-,adp,2.0,data,2.0,north,3.0,range,1.0,control,2.0,-,-,-,-,-,-,-,-,-,-,-,-,tissues,2.0,handle,1.0,-,-,-,-,make,5,drum,5.0
463,essence,1.0,citation,1.0,-,-,required,2.0,size,2.0,major,3.0,cases,1.0,even,2.0,-,-,-,-,-,-,-,-,-,-,-,-,experiences,2.0,among,1.0,-,-,-,-,found,5,interview,5.0
464,today,1.0,needed,1.0,-,-,round,2.0,52,2.0,changes,3.0,point,1.0,17,2.0,-,-,-,-,-,-,-,-,-,-,-,-,grams,2.0,members,1.0,-,-,-,-,making,5,jowers,5.0
465,misnomer,1.0,balanced,1.0,-,-,able,2.0,energy,2.0,process,3.0,aired,1.0,thermal,2.0,-,-,-,-,-,-,-,-,-,-,-,-,undergoes,2.0,board,1.0,-,-,-,-,right,5,2000,5.0
466,former,1.0,elsewhere,1.0,-,-,doubles,2.0,useful,2.0,interbreed,3.0,abc,1.0,navies,2.0,-,-,-,-,-,-,-,-,-,-,-,-,rapid,2.0,pillsbury,1.0,-,-,-,-,indian,5,story,5.0
467,nigeria,1.0,balance,1.0,-,-,using,2.0,information,2.0,means,3.0,4corners,1.0,75,2.0,-,-,-,-,-,-,-,-,-,-,-,-,her,2.0,d,1.0,-,-,-,-,postal,5,newcastle,5.0
468,homeland,1.0,itcz,1.0,-,-,mixture,2.0,8,2.0,behaviors,3.0,program,1.0,18,2.0,-,-,-,-,-,-,-,-,-,-,-,-,strongly,2.0,washburn,1.0,-,-,-,-,1757,5,wofford,5.0
469,complex,1.0,band,1.0,-,-,wikipedia,1.0,9,2.0,traits,3.0,widely,1.0,exercise,2.0,-,-,-,-,-,-,-,-,-,-,-,-,promotes,2.0,henry,1.0,-,-,-,-,constitution,5,although,5.0
470,political,1.0,clouds,1.0,-,-,encyclopedia,1.0,10,2.0,love,3.0,ministers,1.0,key,2.0,-,-,-,-,-,-,-,-,-,-,-,-,index,2.0,eustis,1.0,-,-,-,-,spent,5,extramarital,5.0
471,social,1.0,americas,1.0,-,-,unzipped,1.0,dirndl,2.0,tendency,3.0,justifying,1.0,eagle,2.0,-,-,-,-,-,-,-,-,-,-,-,-,defined,2.0,loren,1.0,-,-,-,-,people,5,ralph,4.0
472,sedentary,1.0,seen,1.0,-,-,unwound,1.0,dress,2.0,towards,3.0,calling,1.0,described,2.0,-,-,-,-,-,-,-,-,-,-,-,-,within,2.0,fletcher,1.0,-,-,-,-,call,5,brother,4.0
473,hoe,1.0,george,1.0,-,-,turquoise,1.0,saxehildburghausen,2.0,out,3.0,tony,1.0,many,2.0,-,-,-,-,-,-,-,-,-,-,-,-,choices,2.0,important,1.0,-,-,-,-,tolerance,5,seminary,4.0
474,farming,1.0,attempt,1.0,-,-,acts,1.0,12,2.0,late,3.0,abbott,1.0,21,2.0,-,-,-,-,-,-,-,-,-,-,-,-,lowfat,2.0,political,1.0,-,-,-,-,belief,5,boston,4.0
475,group,1.0,explain,1.0,-,-,replicating,1.0,front,2.0,pedigreed,3.0,asked,1.0,break,2.0,-,-,-,-,-,-,-,-,-,-,-,-,alternatives,2.0,figures,1.0,-,-,-,-,dogma,5,awards,4.0
476,specialized,1.0,density,1.0,-,-,helices,1.0,royal,2.0,ancestry,3.0,regarding,1.0,initial,2.0,-,-,-,-,-,-,-,-,-,-,-,-,fruits,2.0,handled,1.0,-,-,-,-,think,5,congressional,4.0
477,labor,1.0,move,1.0,-,-,biology,1.0,named,2.0,type,3.0,provided,1.0,suggested,2.0,-,-,-,-,-,-,-,-,-,-,-,-,vegetables,2.0,called,1.0,-,-,-,-,institute,5,sermons,4.0
478,renamed,1.0,becomes,1.0,-,-,producing,1.0,meadow,2.0,mostly,3.0,statistics,1.0,29,2.0,-,-,-,-,-,-,-,-,-,-,-,-,emphasized,2.0,realty,1.0,-,-,-,-,trust,5,best,4.0
479,documented,1.0,dense,1.0,-,-,identical,1.0,honour,2.0,fed,3.0,concerning,1.0,operating,2.0,-,-,-,-,-,-,-,-,-,-,-,-,04,2.0,further,1.0,-,-,-,-,dashkova,5,advancement,4.0
480,slave,1.0,descended,1.0,-,-,replicas,1.0,ever,2.0,associated,3.0,breaches,1.0,nearby,2.0,-,-,-,-,-,-,-,-,-,-,-,-,per,2.0,cemented,1.0,-,-,-,-,free,4,disobedience,4.0
481,owners,1.0,closing,1.0,-,-,inheritance,1.0,although,2.0,general,3.0,freedom,1.0,theories,2.0,-,-,-,-,-,-,-,-,-,-,-,-,steady,2.0,place,1.0,-,-,-,-,1782,4,1962,4.0
482,characterizes,1.0,acceleration,1.0,-,-,serves,1.0,honor,2.0,50,3.0,association,1.0,agencies,2.0,-,-,-,-,-,-,-,-,-,-,-,-,activities,2.0,commonly,1.0,-,-,-,-,3,4,famous,4.0
483,deviant,1.0,manifestation,1.0,-,-,production,1.0,widely,2.0,area,3.0,entry,1.0,birds,2.0,-,-,-,-,-,-,-,-,-,-,-,-,walking,2.0,cost,1.0,-,-,-,-,adams,4,beyond,4.0
484,forms,1.0,producing,1.0,-,-,counterpart,1.0,michael,2.0,extra,3.0,strike,1.0,radar,2.0,-,-,-,-,-,-,-,-,-,-,-,-,adequate,2.0,than,1.0,-,-,-,-,jefferson,4,assassinated,4.0
485,worshiping,1.0,located,1.0,-,-,errorchecking,1.0,guard,2.0,head,3.0,criticised,1.0,58,2.0,-,-,-,-,-,-,-,-,-,-,-,-,sufficient,2.0,2666,1.0,-,-,-,-,7,4,followed,4.0
486,common,1.0,shifts,1.0,-,-,ensure,1.0,origins,2.0,unusual,3.0,enforcement,1.0,rescued,2.0,-,-,-,-,-,-,-,-,-,-,-,-,proper,2.0,166–167,1.0,-,-,-,-,bache,4,2011,4.0
487,name,1.0,january,1.0,-,-,near,1.0,offered,2.0,powerful,3.0,agencies,1.0,remaining,2.0,-,-,-,-,-,-,-,-,-,-,-,-,essential,2.0,well,1.0,-,-,-,-,1706,4,11,4.0
488,describe,1.0,caused,1.0,-,-,perfect,1.0,franz,2.0,56,3.0,alleging,1.0,settled,2.0,-,-,-,-,-,-,-,-,-,-,-,-,caloric,2.0,offices,1.0,-,-,-,-,cause,4,3,4.0
489,replacing,1.0,greatest,1.0,-,-,begins,1.0,1811,2.0,side,3.0,simply,1.0,left,2.0,-,-,-,-,-,-,-,-,-,-,-,-,provide,2.0,rooftop,1.0,-,-,-,-,6,4,florida,4.0
490,olorisha,1.0,summer,1.0,-,-,locations,1.0,launched,2.0,walk,3.0,actioned,1.0,side,2.0,-,-,-,-,-,-,-,-,-,-,-,-,balanced,2.0,restaurant,1.0,-,-,-,-,fathers,4,voting,4.0
491,extension,1.0,thermodynamic,1.0,-,-,bidirectionally,1.0,natural,2.0,place,3.0,priority,1.0,deep,2.0,-,-,-,-,-,-,-,-,-,-,-,-,seek,2.0,private,1.0,-,-,-,-,discoveries,4,sunday,4.0
492,—,1.0,efficiency,1.0,-,-,continuation,1.0,hill,2.0,fore,3.0,mirrored,1.0,took,2.0,-,-,-,-,-,-,-,-,-,-,-,-,above,2.0,center,1.0,-,-,-,-,rod,4,7,4.0
493,ernesto,1.0,power,1.0,-,-,prominently,1.0,stands,2.0,gait,3.0,criticisms,1.0,sink,2.0,-,-,-,-,-,-,-,-,-,-,-,-,299,2.0,elsewhere,1.0,-,-,-,-,earned,4,9,4.0
494,pichardo,1.0,estimated,1.0,-,-,synthesizes,1.0,performance,2.0,land,3.0,levelled,1.0,small,2.0,-,-,-,-,-,-,-,-,-,-,-,-,70,2.0,midwest,1.0,-,-,-,-,ambassador,4,10,4.0
495,clba,1.0,26,1.0,-,-,complement,1.0,train,2.0,60,3.0,should,1.0,36,2.0,-,-,-,-,-,-,-,-,-,-,-,-,corresponding,2.0,western,1.0,-,-,-,-,marriage,4,uk,4.0
496,priesthood,1.0,200x1012,1.0,-,-,sstage,1.0,dressed,2.0,normal,3.0,aggressively,1.0,admiral,2.0,-,-,-,-,-,-,-,-,-,-,-,-,whereas,2.0,states,1.0,-,-,-,-,23,4,religion,4.0
497,shield,1.0,articles,1.0,-,-,interphase,1.0,horses,2.0,front,3.0,involved,1.0,jung,2.0,-,-,-,-,-,-,-,-,-,-,-,-,02,2.0,bozeman,1.0,-,-,-,-,almanack,4,12,4.0
498,mask,1.0,vortex,1.0,-,-,performed,1.0,student,2.0,feature,3.0,picketbreaking,1.0,rear,2.0,-,-,-,-,-,-,-,-,-,-,-,-,caesarean,2.0,montana,1.0,-,-,-,-,1767,4,wiretapping,4.0
499,consequence,1.0,likewise,1.0,-,-,artificially,1.0,agriculture,2.0,big,3.0,merely,1.0,six,2.0,-,-,-,-,-,-,-,-,-,-,-,-,section,2.0,galveston,1.0,-,-,-,-,associated,4,122,4.0
500,interchangeably,1.0,simple,1.0,-,-,outside,1.0,canceled,2.0,america,3.0,keeping,1.0,ships,2.0,-,-,-,-,-,-,-,-,-,-,-,-,breathing,2.0,texas,1.0,-,-,-,-,philosophical,4,nsa,4.0
501,planters,1.0,relative,1.0,-,-,isolated,1.0,accompanied,2.0,probably,3.0,peace,1.0,well,2.0,-,-,-,-,-,-,-,-,-,-,-,-,encouraged,2.0,gary,1.0,-,-,-,-,parliament,4,123,4.0
502,celebrating,1.0,still,1.0,-,-,common,1.0,climbing,2.0,temperatures,3.0,ill,1.0,aircraft,2.0,-,-,-,-,-,-,-,-,-,-,-,-,estimated,2.0,indiana,1.0,-,-,-,-,act,4,memorials,4.0
503,days,1.0,sufficiently,1.0,-,-,laboratory,1.0,silver,2.0,until,3.0,willed,1.0,finding,2.0,-,-,-,-,-,-,-,-,-,-,-,-,requirements,2.0,madison,1.0,-,-,-,-,proved,4,places,4.0
504,did,1.0,undergo,1.0,-,-,technique,1.0,southern,2.0,reducing,3.0,people,1.0,alive,2.0,-,-,-,-,-,-,-,-,-,-,-,-,servings,2.0,wisconsin,1.0,-,-,-,-,deputy,4,five,4.0
505,know,1.0,km,1.0,-,-,cyclically,1.0,1850,2.0,mouths,3.0,ample,1.0,waves,2.0,-,-,-,-,-,-,-,-,-,-,-,-,summarizes,2.0,contributed,1.0,-,-,-,-,network,4,works,4.0
506,actually,1.0,considerably,1.0,-,-,applies,1.0,become,2.0,glands,3.0,opportunities,1.0,38,2.0,-,-,-,-,-,-,-,-,-,-,-,-,singleton,2.0,charitable,1.0,-,-,-,-,active,4,16,4.0
507,performing,1.0,denser,1.0,-,-,amplify,1.0,centre,2.0,quickly,3.0,cause,1.0,keep,2.0,-,-,-,-,-,-,-,-,-,-,-,-,pregnancies,2.0,philanthropic,1.0,-,-,-,-,honored,4,further,4.0
508,assumed,1.0,underlying,1.0,-,-,pool,1.0,march,2.0,carnivores,3.0,major,1.0,diver,2.0,-,-,-,-,-,-,-,-,-,-,-,-,needs,2.0,causes,1.0,-,-,-,-,bill,4,legal,4.0
509,showing,1.0,complete,1.0,-,-,contents,1.0,constructed,2.0,amino,3.0,disruption,1.0,called,2.0,-,-,-,-,-,-,-,-,-,-,-,-,good,2.0,donated,1.0,-,-,-,-,ancestry,4,name,4.0
510,more,1.0,outflow,1.0,-,-,hide,1.0,ruhmeshalle,2.0,taurine,3.0,site,1.0,operation,2.0,-,-,-,-,-,-,-,-,-,-,-,-,ultrasonography,2.0,toward,1.0,-,-,-,-,31,4,changed,4.0
511,interest,1.0,harmonic,1.0,-,-,32,1.0,cancelled,2.0,levels,3.0,trust,1.0,phase,2.0,-,-,-,-,-,-,-,-,-,-,-,-,date,2.0,construction,1.0,-,-,-,-,commonlaw,4,trip,4.0
512,than,1.0,rossby,1.0,-,-,33,1.0,residents,2.0,nutrients,3.0,preserve,1.0,seabed,2.0,-,-,-,-,-,-,-,-,-,-,-,-,last,2.0,public,1.0,-,-,-,-,inquiries,4,child,4.0
513,christian,1.0,ultralong,1.0,-,-,331,1.0,died,2.0,attempts,3.0,entitlements,1.0,pyongtaek,2.0,-,-,-,-,-,-,-,-,-,-,-,-,menstrual,2.0,provided,1.0,-,-,-,-,concept,4,mother,4.0
514,god—hence,1.0,determine,1.0,-,-,332,1.0,cholera,2.0,animal,3.0,trustees,1.0,salvaged,2.0,-,-,-,-,-,-,-,-,-,-,-,-,values,2.0,temporary,1.0,-,-,-,-,temperature,4,reported,4.0
515,derisory,1.0,path,1.0,-,-,333,1.0,epidemic,2.0,severe,3.0,investment,1.0,taken,2.0,-,-,-,-,-,-,-,-,-,-,-,-,rump,2.0,ripley,1.0,-,-,-,-,oil,4,saw,4.0
516,historical,1.0,transitional,1.0,-,-,34,1.0,electric,2.0,concern,3.0,least,1.0,bodies,2.0,-,-,-,-,-,-,-,-,-,-,-,-,heel,2.0,memorial,1.0,-,-,-,-,decades,4,boy,4.0
517,veiling,1.0,abundant,1.0,-,-,35,1.0,glass,2.0,explanation,3.0,trusts,1.0,down,2.0,-,-,-,-,-,-,-,-,-,-,-,-,indicator,2.0,hospital,1.0,-,-,-,-,hutchinson,4,boys,4.0
518,compounded,1.0,words,1.0,-,-,36,1.0,mugs,2.0,result,3.0,andor,1.0,september,2.0,-,-,-,-,-,-,-,-,-,-,-,-,need,2.0,baptist,1.0,-,-,-,-,9,4,went,4.0
519,fact,1.0,characteristics,1.0,-,-,41,1.0,musicians,2.0,sensitivity,3.0,purposes,1.0,britain,2.0,-,-,-,-,-,-,-,-,-,-,-,-,centimetres,2.0,church,1.0,-,-,-,-,10,4,wanted,4.0
520,vast,1.0,domain,1.0,-,-,411,1.0,resulted,2.0,surface,3.0,dramatically,1.0,50,2.0,-,-,-,-,-,-,-,-,-,-,-,-,how,2.0,scientific,1.0,-,-,-,-,12,4,throughout,4.0
521,majority,1.0,sheer,1.0,-,-,42,1.0,1887,2.0,80,3.0,officials,1.0,examination,2.0,-,-,-,-,-,-,-,-,-,-,-,-,those,2.0,philippines,1.0,-,-,-,-,further,4,often,4.0
522,catholics,1.0,volume,1.0,-,-,references,1.0,play,2.0,might,3.0,accepted,1.0,directly,2.0,-,-,-,-,-,-,-,-,-,-,-,-,percentile,2.0,partnership,1.0,-,-,-,-,ecton,4,age,4.0
523,require,1.0,transports,1.0,-,-,usually,1.0,saturday,2.0,detect,3.0,secret,1.0,powerful,2.0,-,-,-,-,-,-,-,-,-,-,-,-,indicates,2.0,academy,1.0,-,-,-,-,former,4,denied,4.0
524,spread,1.0,ensures,1.0,-,-,exists,1.0,quality,2.0,extremely,3.0,bribery,1.0,possibly,2.0,-,-,-,-,-,-,-,-,-,-,-,-,weighing,2.0,sciences,1.0,-,-,-,-,puritans,4,spring,4.0
525,beyond,1.0,transient,1.0,-,-,coiled,1.0,please,2.0,hz,3.0,corrupt,1.0,jet,2.0,-,-,-,-,-,-,-,-,-,-,-,-,including,2.0,led,1.0,-,-,-,-,meetings,4,growing,4.0
526,spanishspeaking,1.0,phenomena,1.0,-,-,characteristic,1.0,help,2.0,acute,3.0,concluded,1.0,generated,2.0,-,-,-,-,-,-,-,-,-,-,-,-,placental,2.0,primarily,1.0,-,-,-,-,shall,4,speaking,4.0
527,parts,1.0,only,1.0,-,-,doublehelix,1.0,improve,2.0,500,3.0,certainly,1.0,shock,2.0,-,-,-,-,-,-,-,-,-,-,-,-,alcohol,2.0,dean,1.0,-,-,-,-,throughout,4,station,4.0
528,catalyzed,1.0,felt,1.0,-,-,contain,1.0,2014,2.0,further,3.0,appears,1.0,substance,2.0,-,-,-,-,-,-,-,-,-,-,-,-,smoking,2.0,conant,1.0,-,-,-,-,sailed,4,ordered,4.0
529,revolution,1.0,whole,1.0,-,-,sugar,1.0,learn,2.0,spraying,3.0,broader,1.0,rdx,2.0,-,-,-,-,-,-,-,-,-,-,-,-,medical,2.0,worcester,1.0,-,-,-,-,court,4,passed,4.0
530,1959,1.0,except,1.0,-,-,nucleobase,1.0,remove,2.0,respond,3.0,investigation,1.0,post,2.0,-,-,-,-,-,-,-,-,-,-,-,-,26,2.0,frank,1.0,-,-,-,-,defense,4,serve,4.0
531,1974,1.0,unusual,1.0,-,-,correspond,1.0,template,2.0,plants,3.0,special,1.0,previously,2.0,-,-,-,-,-,-,-,-,-,-,-,-,counseling,2.0,swift,1.0,-,-,-,-,building,4,degree,4.0
532,officially,1.0,endless,1.0,-,-,nucleobases,1.0,message,2.0,buds,3.0,investigative,1.0,noncontact,2.0,-,-,-,-,-,-,-,-,-,-,-,-,so,2.0,bourns,1.0,-,-,-,-,enough,4,conducted,4.0
533,incorporated,1.0,chain,1.0,-,-,abbreviated,1.0,estimated,2.0,94,3.0,gather,1.0,civilian,2.0,-,-,-,-,-,-,-,-,-,-,-,-,difficult,2.0,collected,1.0,-,-,-,-,founded,4,street,4.0
534,does,1.0,passing,1.0,-,-,g,1.0,temporarily,2.0,way,3.0,elicity,1.0,tnt,2.0,-,-,-,-,-,-,-,-,-,-,-,-,temperature,2.0,birds,1.0,-,-,-,-,denied,4,third,4.0
535,central,1.0,highs,1.0,-,-,t,1.0,translated,2.0,would,3.0,information,1.0,fragment,2.0,-,-,-,-,-,-,-,-,-,-,-,-,monitor,2.0,animals,1.0,-,-,-,-,popular,4,worked,4.0
536,creed,1.0,lows,1.0,-,-,purine,1.0,autumn,2.0,itself,3.0,normally,1.0,serial,2.0,-,-,-,-,-,-,-,-,-,-,-,-,nt,2.0,such,1.0,-,-,-,-,weeks,4,june,4.0
537,though,1.0,everyday,1.0,-,-,pyrimidines,1.0,social,2.0,always,3.0,available,1.0,multinational,2.0,-,-,-,-,-,-,-,-,-,-,-,-,losing,2.0,philippine,1.0,-,-,-,-,thing,4,26,4.0
538,place,1.0,life,1.0,-,-,creating,1.0,seen,2.0,spayed,3.0,issued,1.0,commenting,2.0,-,-,-,-,-,-,-,-,-,-,-,-,beneficial,2.0,slow,1.0,-,-,-,-,la,4,avenue,4.0
539,housetemple,1.0,dwellers,1.0,-,-,phosphatedeoxyribose,1.0,austria,2.0,develop,3.0,constitution,1.0,inquiry,2.0,-,-,-,-,-,-,-,-,-,-,-,-,28,2.0,loris,1.0,-,-,-,-,months,4,28,4.0
540,casa,1.0,30,1.0,-,-,pointing,1.0,sudetenland,2.0,reduced,3.0,appointing,1.0,alleged,2.0,-,-,-,-,-,-,-,-,-,-,-,-,delivery,2.0,nycticebus,1.0,-,-,-,-,following,4,issues,4.0
541,santos,1.0,unknown,1.0,-,-,inward,1.0,via,2.0,problems,3.0,directed,1.0,departed,2.0,-,-,-,-,-,-,-,-,-,-,-,-,big,2.0,menagensis,1.0,-,-,-,-,ideas,4,dissertation,4.0
542,ilés,1.0,notable,1.0,-,-,ie,1.0,agreement,2.0,injuries,3.0,subsequent,1.0,few,2.0,-,-,-,-,-,-,-,-,-,-,-,-,twins,2.0,sulu,1.0,-,-,-,-,me,4,paul,4.0
543,homes,1.0,exceptions,1.0,-,-,toward,1.0,following,2.0,available,3.0,officer,1.0,manufactured,2.0,-,-,-,-,-,-,-,-,-,-,-,-,short,2.0,bleedingheart,1.0,-,-,-,-,birth,4,29,4.0
544,shrines,1.0,rule,1.0,-,-,opposing,1.0,1948,2.0,guardians,3.0,order,1.0,ilbo,2.0,-,-,-,-,-,-,-,-,-,-,-,-,consumed,2.0,gallicolumba,1.0,-,-,-,-,company,4,rev,4.0
545,built,1.0,europe,1.0,-,-,threeprime,1.0,fest,2.0,118,3.0,judiciary,1.0,believe,2.0,-,-,-,-,-,-,-,-,-,-,-,-,meals,2.0,menagei,1.0,-,-,-,-,composed,4,william,4.0
546,different,1.0,unstable,1.0,-,-,fiveprime,1.0,drink,2.0,housecats,3.0,particularly,1.0,around,2.0,-,-,-,-,-,-,-,-,-,-,-,-,content,2.0,named,1.0,-,-,-,-,louis,4,thought,4.0
547,creates,1.0,extends,1.0,-,-,convention,1.0,foundation,2.0,sleep,3.0,administration,1.0,130,2.0,-,-,-,-,-,-,-,-,-,-,-,-,predicted,2.0,appear,1.0,-,-,-,-,even,4,still,4.0
548,space,1.0,least,1.0,-,-,given,1.0,roller,2.0,widely,3.0,community,1.0,port,2.0,-,-,-,-,-,-,-,-,-,-,-,-,33,2.0,have,1.0,-,-,-,-,signed,4,included,4.0
549,display,1.0,70°,1.0,-,-,left,1.0,carousel,2.0,groups,3.0,naval,1.0,position,2.0,-,-,-,-,-,-,-,-,-,-,-,-,de,2.0,discarded,1.0,-,-,-,-,pamphlet,4,jim,4.0
550,distinct,1.0,strengthen,1.0,-,-,right,1.0,heat,2.0,aggression,3.0,reserve,1.0,final,2.0,-,-,-,-,-,-,-,-,-,-,-,-,n,2.0,remain,1.0,-,-,-,-,blacks,4,crow,4.0
551,thrones,1.0,weaken,1.0,-,-,antiparallel,1.0,beginning,2.0,led,3.0,conservation,1.0,1번,2.0,-,-,-,-,-,-,-,-,-,-,-,-,r,2.0,collections,1.0,-,-,-,-,shortly,4,laws,4.0
552,draped,1.0,regionally,1.0,-,-,refer,1.0,1200,2.0,mother,3.0,arts,1.0,marking,2.0,-,-,-,-,-,-,-,-,-,-,-,-,t,2.0,field,1.0,-,-,-,-,based,4,court,4.0
553,royal,1.0,vanish,1.0,-,-,carbon,1.0,incumbent,2.0,evolutionary,3.0,investigate,1.0,propellers,2.0,-,-,-,-,-,-,-,-,-,-,-,-,2001,2.0,1890s,1.0,-,-,-,-,sciences,4,created,4.0
554,blue,1.0,orography,1.0,-,-,atom,1.0,ozapft,2.0,purr,3.0,defined,1.0,schematic,2.0,-,-,-,-,-,-,-,-,-,-,-,-,international,2.0,begun,1.0,-,-,-,-,true,4,graham,4.0
555,red,1.0,katabatic,1.0,-,-,attaches,1.0,litre,2.0,papillae,3.0,follows,1.0,televised,2.0,-,-,-,-,-,-,-,-,-,-,-,-,epidemiology,2.0,puget,1.0,-,-,-,-,use,4,young,4.0
556,satin,1.0,create,1.0,-,-,consequences,1.0,thomas,2.0,act,3.0,1996,1.0,inside,2.0,-,-,-,-,-,-,-,-,-,-,-,-,2004,2.0,sound,1.0,-,-,-,-,went,4,department,4.0
557,seats,1.0,conditions,1.0,-,-,pairing,1.0,wimmer,2.0,150,3.0,fraud,1.0,end,2.0,-,-,-,-,-,-,-,-,-,-,-,-,american,2.0,washington,1.0,-,-,-,-,place,4,1959,4.0
558,queens,1.0,instance,1.0,-,-,bonding,1.0,officially,2.0,spines,3.0,corruption,1.0,obtained,2.0,-,-,-,-,-,-,-,-,-,-,-,-,college,2.0,accumulating,1.0,-,-,-,-,period,4,short,4.0
559,deified,1.0,coldest,1.0,-,-,means,1.0,marksmen,2.0,153,3.0,collusion,1.0,inconsistent,2.0,-,-,-,-,-,-,-,-,-,-,-,-,clin,2.0,thousand,1.0,-,-,-,-,interest,4,argued,4.0
560,168,1.0,recorded,1.0,-,-,information,1.0,beertent,2.0,avoid,3.0,anticompetitive,1.0,marked,2.0,-,-,-,-,-,-,-,-,-,-,-,-,pmid,2.0,acres,1.0,-,-,-,-,rest,4,need,4.0
561,composed,1.0,−892,1.0,-,-,contained,1.0,different,2.0,estimated,3.0,violence,1.0,250,2.0,-,-,-,-,-,-,-,-,-,-,-,-,new,2.0,planned,1.0,-,-,-,-,extended,4,means,4.0
562,occasionally,1.0,°c,1.0,-,-,redundant,1.0,start,2.0,reduce,3.0,payments,1.0,kg,2.0,-,-,-,-,-,-,-,-,-,-,-,-,2006,2.0,iron,1.0,-,-,-,-,laws,4,society,4.0
563,seek,1.0,vostok,1.0,-,-,intrastrand,1.0,serve,2.0,top,3.0,receipts,1.0,lb,2.0,-,-,-,-,-,-,-,-,-,-,-,-,medicine,2.0,mine,1.0,-,-,-,-,illegitimate,4,honorary,4.0
564,becoming,1.0,station,1.0,-,-,interstrand,1.0,specially,2.0,string,3.0,benefits,1.0,seen,2.0,-,-,-,-,-,-,-,-,-,-,-,-,et,2.0,smelter,1.0,-,-,-,-,1743,4,issue,4.0
565,cabildos,1.0,measured,1.0,-,-,reconstruct,1.0,east,2.0,young,3.0,iii,1.0,draft,2.0,-,-,-,-,-,-,-,-,-,-,-,-,al,2.0,steel,1.0,-,-,-,-,seven,4,calling,4.0
566,casas,1.0,1983,1.0,-,-,accidentally,1.0,lost,2.0,owing,3.0,dictating,1.0,august,2.0,-,-,-,-,-,-,-,-,-,-,-,-,advisory,2.0,mill,1.0,-,-,-,-,meant,4,use,4.0
567,bridged,1.0,diverges,1.0,-,-,incorporated,1.0,found,2.0,laser,3.0,limiting,1.0,eleven,2.0,-,-,-,-,-,-,-,-,-,-,-,-,board,2.0,workers,1.0,-,-,-,-,february,4,next,4.0
568,19th,1.0,altitude,1.0,-,-,carry,1.0,office,2.0,he,3.0,interfering,1.0,possible,2.0,-,-,-,-,-,-,-,-,-,-,-,-,babycenter,2.0,finance,1.0,-,-,-,-,helped,4,organized,4.0
569,20th,1.0,rest,1.0,-,-,out,1.0,begin,2.0,attracted,3.0,employ,1.0,why,2.0,-,-,-,-,-,-,-,-,-,-,-,-,disorders,2.0,form,1.0,-,-,-,-,royal,4,system,4.0
570,centuries,1.0,collides,1.0,-,-,extend,1.0,attack,2.0,urban,3.0,engage,1.0,except,2.0,-,-,-,-,-,-,-,-,-,-,-,-,2008,2.0,mortgagebacked,1.0,-,-,-,-,still,4,marchers,4.0
571,fondly,1.0,ridges,1.0,-,-,extending,1.0,set,2.0,200,3.0,persons,1.0,light,2.0,-,-,-,-,-,-,-,-,-,-,-,-,alberta,2.0,security,1.0,-,-,-,-,magazine,4,vote,4.0
572,remembered,1.0,drives,1.0,-,-,via,1.0,26,2.0,effect,3.0,employed,1.0,explosives,2.0,-,-,-,-,-,-,-,-,-,-,-,-,etal,1.0,england,1.0,-,-,-,-,much,4,labor,4.0
573,origins,1.0,provided,1.0,-,-,creation,1.0,killed,2.0,western,3.0,b,1.0,meters,2.0,-,-,-,-,-,-,-,-,-,-,-,-,wikipedia,1.0,europe,1.0,-,-,-,-,reputation,4,violent,4.0
574,strongholds,1.0,circulating,1.0,-,-,comes,1.0,injured,2.0,discovery,3.0,failure,1.0,expected,2.0,-,-,-,-,-,-,-,-,-,-,-,-,free,1.0,occurred,1.0,-,-,-,-,writing,4,coalition,4.0
575,culture,1.0,drag,1.0,-,-,phosphoanhydride,1.0,various,2.0,223,3.0,disclose,1.0,aground,2.0,-,-,-,-,-,-,-,-,-,-,-,-,encyclopedia,1.0,fraudulent,1.0,-,-,-,-,1771,4,thousands,4.0
